Date,Open,High,Low,Close,Volume
2024-03-15,1716.43,1727.65,1708.8,1720.0,2079245
2024-03-18,1742.84,1757.84,1728.25,1743.25,1862919
2024-03-19,1738.4,1752.97,1730.06,1744.6,687683
2024-03-20,1732.51,1743.82,1715.26,1726.53,2259119
2024-03-21,1743.02,1761.01,1723.17,1741.14,1019288
2024-03-22,1718.27,1739.7,1700.69,1722.08,726861
2024-03-25,1733.98,1756.98,1715.15,1738.11,683988
2024-03-26,1762.97,1780.02,1752.4,1769.42,1193380
2024-03-27,1727.21,1749.33,1710.13,1732.21,1874928
2024-03-28,1652.56,1663.13,1648.1,1658.65,2579809
2024-03-29,1661.99,1682.44,1643.49,1663.91,912718
2024-04-01,1701.51,1720.9,1681.55,1700.93,2693551
2024-04-02,1734.48,1741.35,1721.26,1728.11,1427245
2024-04-03,1703.91,1708.81,1699.08,1703.97,740559
2024-04-04,1706.62,1726.88,1685.47,1705.72,2485044
2024-04-05,1685.4,1706.45,1663.14,1684.18,1019805
2024-04-08,1659.42,1672.11,1652.54,1665.21,536043
2024-04-09,1644.66,1654.96,1636.95,1647.23,4576630
2024-04-10,1638.88,1649.55,1627.67,1638.34,841384
2024-04-11,1603.06,1616.8,1582.45,1596.12,1501001
2024-04-12,1587.16,1608.37,1569.31,1590.47,805361
2024-04-15,1579.06,1603.53,1559.68,1584.09,2006049
2024-04-16,1582.18,1595.5,1564.7,1577.99,2065988
2024-04-17,1563.55,1580.85,1541.41,1558.66,1238417
2024-04-18,1552.82,1574.55,1536.96,1558.62,2021639
2024-04-19,1560.19,1577.48,1541.23,1558.5,1880097
2024-04-22,1559.19,1576.39,1542.4,1559.59,1089834
2024-04-23,1523.8,1533.9,1518.23,1528.32,1526430
2024-04-24,1540.48,1553.22,1526.88,1539.61,1858285
2024-04-25,1509.05,1523.22,1500.57,1514.7,1019843
2024-04-26,1528.57,1542.79,1518.77,1532.96,1446181
2024-04-29,1551.15,1559.73,1534.96,1543.5,881156
2024-04-30,1548.23,1556.31,1533.34,1541.39,478915
2024-05-01,1557.55,1575.25,1538.93,1556.61,1424786
2024-05-02,1538.02,1553.87,1519.55,1535.37,1264185
2024-05-03,1504.77,1522.55,1487.46,1505.24,1020894
2024-05-06,1523.66,1534.3,1505.49,1516.08,997514
2024-05-07,1507.28,1516.69,1499.16,1508.57,1251538
2024-05-08,1527.65,1542.22,1506.25,1520.74,640130
2024-05-09,1570.09,1579.03,1560.18,1569.11,1321588
2024-05-10,1572.59,1583.21,1566.88,1577.48,806755
2024-05-13,1586.99,1605.14,1576.4,1594.5,1658709
2024-05-14,1567.08,1588.08,1547.58,1568.56,676890
2024-05-15,1578.42,1592.89,1559.61,1574.04,753245
2024-05-16,1560.85,1574.9,1543.55,1557.57,1013760
2024-05-17,1525.26,1548.1,1506.23,1529.02,713144
2024-05-20,1519.05,1531.58,1513.43,1525.94,1304205
2024-05-21,1517.35,1524.51,1513.0,1520.15,865964
2024-05-22,1514.31,1540.58,1495.67,1521.86,437309
2024-05-23,1512.28,1534.54,1496.83,1519.03,1400148
2024-05-24,1505.33,1522.67,1491.4,1508.71,1105518
2024-05-27,1489.81,1511.99,1474.12,1496.23,1248515
2024-05-28,1484.61,1493.32,1477.54,1486.24,3599927
2024-05-29,1483.42,1495.98,1472.64,1485.19,1069607
2024-05-30,1479.02,1496.54,1461.88,1479.39,1205178
2024-05-31,1496.63,1504.54,1490.26,1498.17,1682110
2024-06-03,1508.92,1526.29,1491.32,1508.69,1151299
2024-06-04,1477.14,1499.24,1461.22,1483.25,1115266
2024-06-05,1489.97,1503.46,1473.57,1487.03,696430
2024-06-06,1494.35,1510.63,1477.49,1493.76,1153321
