Date,Open,High,Low,Close,Volume
2024-03-15,1618.8,1624.19,1614.61,1620.0,1066169
2024-03-18,1612.79,1629.46,1602.85,1619.48,501939
2024-03-19,1576.23,1585.79,1569.61,1579.16,670301
2024-03-20,1576.25,1588.1,1568.35,1580.18,638013
2024-03-21,1537.94,1549.58,1532.46,1544.08,6373760
2024-03-22,1523.48,1539.3,1508.75,1524.56,764187
2024-03-25,1502.78,1523.06,1484.64,1504.88,890397
2024-03-26,1460.75,1470.89,1455.85,1465.97,1051120
2024-03-27,1460.35,1478.04,1441.38,1459.05,1987280
2024-03-28,1466.86,1482.39,1455.7,1471.2,3251831
2024-03-29,1468.98,1482.05,1455.43,1468.49,1920821
2024-04-01,1450.18,1457.2,1442.05,1449.07,3158287
2024-04-02,1447.66,1467.09,1431.0,1450.41,1024158
2024-04-03,1476.59,1485.53,1468.13,1477.06,855712
2024-04-04,1551.33,1568.83,1526.44,1543.86,1360622
2024-04-05,1549.4,1563.24,1533.86,1547.69,1583425
2024-04-08,1556.55,1567.48,1540.47,1551.37,1749627
2024-04-09,1571.26,1583.95,1560.93,1573.61,2855926
2024-04-10,1546.9,1558.45,1531.38,1542.9,1185952
2024-04-11,1525.65,1539.14,1517.38,1530.84,1107623
2024-04-12,1532.2,1539.15,1523.46,1530.41,2026749
2024-04-15,1496.75,1516.01,1480.43,1499.66,3515346
2024-04-16,1527.64,1541.36,1519.01,1532.71,1618901
2024-04-17,1545.04,1565.54,1526.64,1547.12,1399210
2024-04-18,1535.07,1541.86,1528.1,1534.89,2576199
2024-04-19,1529.55,1544.13,1520.87,1535.41,1881018
2024-04-22,1502.21,1506.61,1493.33,1497.71,1366326
2024-04-23,1508.82,1522.89,1492.33,1506.37,3544766
2024-04-24,1500.08,1513.24,1489.53,1502.67,899312
2024-04-25,1499.75,1507.69,1494.81,1502.74,939531
2024-04-26,1502.99,1512.93,1494.98,1504.91,619835
2024-04-29,1522.89,1531.41,1511.88,1520.39,2420760
2024-04-30,1548.16,1562.27,1533.79,1547.89,838754
2024-05-01,1551.48,1561.97,1543.84,1554.32,1531607
2024-05-02,1546.54,1557.25,1530.97,1541.64,1407617
2024-05-03,1517.9,1527.56,1505.19,1514.83,2648474
2024-05-06,1537.69,1544.61,1533.14,1540.05,569155
2024-05-07,1514.63,1524.13,1510.7,1520.19,751896
2024-05-08,1524.22,1532.91,1519.38,1528.05,758386
2024-05-09,1515.23,1525.81,1508.91,1519.47,679823
2024-05-10,1504.55,1513.74,1498.86,1508.03,814130
2024-05-13,1476.1,1481.21,1471.0,1476.11,3065403
2024-05-14,1478.23,1489.36,1464.81,1475.92,1589791
2024-05-15,1491.25,1495.47,1484.25,1488.46,1568727
2024-05-16,1436.57,1447.41,1429.59,1440.41,988239
2024-05-17,1425.0,1440.46,1404.64,1420.04,928844
2024-05-20,1448.61,1460.87,1432.37,1444.59,1931352
2024-05-21,1448.07,1460.13,1436.18,1448.24,2437101
2024-05-22,1421.17,1428.5,1413.19,1420.52,1623064
2024-05-23,1361.33,1371.91,1353.5,1364.06,2199737
2024-05-24,1338.8,1357.6,1322.18,1340.96,651910
2024-05-27,1343.17,1354.97,1332.08,1343.87,1221069
2024-05-28,1341.88,1355.42,1322.12,1335.61,1135028
2024-05-29,1342.26,1346.39,1337.68,1341.81,6477832
2024-05-30,1362.2,1380.2,1348.33,1366.28,1096197
2024-05-31,1394.9,1414.26,1377.87,1397.2,893672
2024-06-03,1408.21,1414.97,1395.61,1402.34,1176867
2024-06-04,1432.34,1449.78,1420.59,1437.98,638242
2024-06-05,1433.89,1457.66,1416.18,1439.88,1629226
2024-06-06,1465.5,1471.77,1454.03,1460.28,1973351
2024-06-07,1462.71,1475.7,1454.33,1467.3,913744
2024-06-10,1469.04,1484.85,1452.97,1468.78,2764955
2024-06-11,1490.25,1512.21,1472.69,1494.6,760266
2024-06-12,1482.74,1487.92,1476.54,1481.72,649750
2024-06-13,1492.8,1500.59,1477.94,1485.69,1697009
2024-06-14,1472.63,1477.08,1467.95,1472.41,3770444
2024-06-17,1438.41,1446.73,1433.59,1441.89,898284
2024-06-18,1433.01,1446.19,1416.69,1429.84,777223
2024-06-19,1431.61,1444.12,1413.24,1425.7,1949265
2024-06-20,1412.36,1421.66,1408.54,1417.82,1989403
2024-06-21,1453.28,1470.11,1436.64,1453.48,1011592
2024-06-24,1457.89,1467.35,1441.84,1451.26,3345354
2024-06-25,1453.33,1463.37,1448.94,1458.95,1687631
2024-06-26,1433.6,1447.49,1422.48,1436.35,2255873
2024-06-27,1431.93,1442.9,1421.08,1432.05,1102164
2024-06-28,1469.49,1482.17,1453.92,1466.57,680678
2024-07-01,1486.72,1500.47,1466.17,1479.86,1956296
2024-07-02,1447.4,1452.36,1440.37,1445.33,1014564
2024-07-03,1430.82,1439.97,1422.21,1431.35,1654621
2024-07-04,1418.29,1436.72,1403.5,1421.89,705748
2024-07-05,1443.14,1451.5,1435.19,1443.55,712696
2024-07-08,1467.54,1474.76,1462.82,1470.03,2516059
2024-07-09,1540.12,1566.23,1521.58,1547.6,1675412
2024-07-10,1540.53,1547.72,1535.18,1542.37,972017
2024-07-11,1546.39,1559.51,1528.72,1541.81,1281454
2024-07-12,1557.54,1570.69,1537.14,1550.23,1799836
2024-07-15,1531.17,1547.55,1511.47,1527.82,1348841
2024-07-16,1505.4,1514.79,1499.52,1508.9,1156159
2024-07-17,1554.83,1570.22,1533.28,1548.61,1678135
2024-07-18,1512.94,1533.37,1499.99,1520.36,725803
2024-07-19,1552.54,1564.13,1537.79,1549.35,2595443
2024-07-22,1528.4,1541.48,1517.45,1530.52,2410372
