Date,Open,High,Low,Close,Volume
2024-03-15,2550.81,2562.22,2528.63,2540.0,917554
2024-03-18,2594.97,2603.85,2575.37,2584.21,1287283
2024-03-19,2587.91,2611.2,2552.25,2575.43,974865
2024-03-20,2598.61,2639.25,2571.15,2611.66,943167
2024-03-21,2563.2,2588.62,2526.36,2551.67,1282366
2024-03-22,2514.14,2535.77,2488.57,2510.17,651634
2024-03-25,2512.31,2522.25,2500.36,2510.29,1880020
2024-03-26,2537.22,2568.52,2508.34,2539.62,843005
2024-03-27,2471.76,2501.73,2434.26,2464.13,725191
2024-03-28,2495.58,2522.65,2463.77,2490.79,592427
2024-03-29,2501.59,2530.63,2466.68,2495.65,1764426
2024-04-01,2429.21,2449.69,2405.64,2426.1,2045589
2024-04-02,2516.15,2546.45,2474.38,2504.55,1102194
2024-04-03,2525.89,2555.93,2508.0,2537.96,1019510
2024-04-04,2628.74,2665.82,2598.64,2635.64,4696181
2024-04-05,2629.28,2644.94,2605.22,2620.83,2247027
2024-04-08,2529.41,2541.41,2521.83,2533.82,1823048
2024-04-09,2483.61,2497.81,2474.88,2489.06,1762724
2024-04-10,2487.46,2505.14,2461.69,2479.31,1070478
2024-04-11,2493.51,2522.52,2454.82,2483.71,1100653
2024-04-12,2506.64,2514.19,2499.34,2506.88,860206
2024-04-15,2508.0,2521.03,2495.29,2508.33,2506820
2024-04-16,2503.73,2527.98,2475.94,2500.15,1205091
2024-04-17,2616.17,2634.17,2595.0,2612.98,855524
2024-04-18,2667.11,2689.64,2646.97,2669.48,952355
2024-04-19,2715.03,2722.04,2702.98,2709.97,1625079
2024-04-22,2723.64,2757.16,2693.93,2727.41,1251514
2024-04-23,2741.91,2749.7,2724.86,2732.63,1689677
2024-04-24,2727.58,2752.35,2700.3,2725.04,728269
2024-04-25,2786.48,2803.05,2761.08,2777.6,437140
2024-04-26,2853.4,2872.41,2832.17,2851.16,963680
2024-04-29,2838.44,2852.21,2823.25,2837.01,2860027
2024-04-30,2771.18,2800.69,2733.78,2763.21,1245573
2024-05-01,2762.04,2802.82,2729.88,2770.56,652443
2024-05-02,2755.97,2798.22,2727.24,2769.35,1692646
2024-05-03,2851.98,2871.95,2827.29,2847.23,2319660
2024-05-06,2790.42,2824.69,2750.53,2784.73,431077
2024-05-07,2764.82,2794.06,2745.7,2774.87,705165
2024-05-08,2807.82,2824.74,2779.13,2795.97,748050
2024-05-09,2783.46,2794.79,2764.96,2776.26,1369501
2024-05-10,2755.35,2769.07,2731.94,2745.62,1253164
2024-05-13,2798.55,2823.15,2769.86,2794.42,1442887
2024-05-14,2769.36,2793.01,2743.97,2767.61,2257041
2024-05-15,2641.76,2654.84,2617.73,2630.76,1887201
2024-05-16,2585.17,2617.64,2558.38,2590.79,690568
2024-05-17,2585.55,2608.65,2559.69,2582.77,1267879
2024-05-20,2618.03,2648.43,2583.28,2613.63,2071996
2024-05-21,2589.86,2622.9,2564.97,2597.93,3731193
2024-05-22,2575.96,2597.32,2550.86,2572.19,327578
2024-05-23,2654.89,2665.5,2645.5,2656.11,526205
2024-05-24,2679.52,2695.25,2664.28,2680.01,2822566
2024-05-27,2631.86,2659.34,2591.74,2619.09,2484150
2024-05-28,2666.35,2678.22,2654.95,2666.82,873134
2024-05-29,2711.97,2741.22,2684.52,2713.76,2304049
2024-05-30,2673.8,2706.02,2638.29,2670.46,909005
2024-05-31,2682.59,2705.14,2648.06,2670.51,1627681
2024-06-03,2676.61,2696.49,2666.15,2685.99,500762
2024-06-04,2723.28,2756.67,2696.86,2730.18,438723
2024-06-05,2786.25,2803.33,2766.08,2783.15,840341
2024-06-06,2807.4,2840.72,2767.25,2800.49,4855432
2024-06-07,2764.95,2797.87,2735.05,2767.94,682018
2024-06-10,2741.85,2769.06,2703.33,2730.43,757276
2024-06-11,2739.73,2772.03,2710.66,2742.93,878755
2024-06-12,2804.47,2818.05,2789.09,2802.67,1220199
2024-06-13,2759.07,2790.09,2727.73,2758.75,1295193
2024-06-14,2710.9,2734.29,2692.65,2716.01,1553665
2024-06-17,2712.0,2736.32,2684.23,2708.52,3013896
2024-06-18,2737.61,2768.56,2709.15,2740.08,1435210
2024-06-19,2739.19,2781.16,2706.88,2748.73,771226
2024-06-20,2735.72,2748.53,2727.93,2740.73,1112792
2024-06-21,2720.65,2741.94,2711.18,2732.42,2555345
2024-06-24,2727.86,2762.81,2703.44,2738.3,472889
2024-06-25,2756.42,2781.45,2726.79,2751.77,977258
2024-06-26,2720.98,2754.2,2685.92,2719.11,736125
2024-06-27,2763.75,2803.32,2729.7,2769.19,1889118
2024-06-28,2870.92,2886.74,2857.74,2873.54,1022417
2024-07-01,2850.54,2877.78,2822.05,2849.28,386727
2024-07-02,2897.6,2930.22,2859.64,2892.2,2154646
2024-07-03,2883.49,2897.06,2864.62,2878.17,654849
2024-07-04,2858.66,2880.47,2830.1,2851.85,1344657
2024-07-05,2846.29,2878.99,2806.7,2839.33,926252
2024-07-08,2777.8,2801.57,2751.41,2775.16,1803447
2024-07-09,2823.07,2831.56,2811.21,2819.7,4111413
2024-07-10,2787.54,2817.61,2753.53,2783.56,1127995
2024-07-11,2765.92,2798.43,2728.59,2761.05,1919271
2024-07-12,2759.65,2788.92,2717.01,2746.13,1448366
2024-07-15,2790.47,2798.2,2783.14,2790.87,1937526
