Date,Open,High,Low,Close,Volume
2024-03-15,620.14,622.66,617.48,620.0,1111054
2024-03-18,638.74,641.83,636.8,639.89,595244
2024-03-19,625.91,627.63,624.33,626.04,595006
2024-03-20,621.85,628.74,611.98,618.83,2111292
2024-03-21,617.99,627.39,611.46,620.83,1002504
2024-03-22,611.18,613.17,607.97,609.96,1809581
2024-03-25,601.91,610.12,595.0,603.2,1684927
2024-03-26,595.61,597.79,590.57,592.74,798695
2024-03-27,607.34,616.98,600.13,609.73,699214
2024-03-28,613.63,616.24,609.14,611.74,777174
2024-03-29,624.33,631.29,615.53,622.47,1944699
2024-04-01,612.91,618.92,609.43,615.42,637936
2024-04-02,606.03,613.13,600.32,607.42,477024
2024-04-03,608.3,610.48,603.99,606.16,515444
2024-04-04,604.38,613.47,597.02,606.08,1357307
2024-04-05,623.53,628.88,617.18,622.53,1812013
2024-04-08,629.45,634.26,623.31,628.11,1318020
2024-04-09,633.84,636.79,632.02,634.96,2470117
2024-04-10,636.1,642.2,628.65,634.73,447521
2024-04-11,635.8,642.03,631.15,637.37,745522
2024-04-12,640.54,645.47,636.0,640.92,621875
2024-04-15,630.92,634.33,628.63,632.04,1018782
2024-04-16,637.84,645.64,631.78,639.56,584125
2024-04-17,638.35,643.82,630.37,635.81,247717
2024-04-18,624.94,633.28,619.14,627.46,1386391
2024-04-19,616.01,626.03,608.81,618.81,2456451
2024-04-22,626.22,631.98,623.21,628.95,1287616
2024-04-23,638.95,646.47,631.65,639.17,1037737
2024-04-24,641.77,648.66,633.83,640.71,669686
2024-04-25,629.59,637.67,623.96,632.02,577951
2024-04-26,636.08,639.71,630.24,633.85,2000434
2024-04-29,628.19,632.95,622.23,626.98,3541873
2024-04-30,621.79,631.76,614.83,624.77,1638985
2024-05-01,618.42,627.99,610.76,620.32,806289
2024-05-02,623.52,628.66,620.35,625.48,1075888
2024-05-03,629.28,631.24,626.62,628.58,1042810
2024-05-06,623.43,626.69,620.86,624.12,2371684
2024-05-07,629.56,633.54,623.22,627.18,701777
2024-05-08,620.76,622.61,618.63,620.49,1425464
2024-05-09,625.55,629.34,621.6,625.39,2492196
2024-05-10,648.25,654.2,641.52,647.46,2973219
2024-05-13,632.91,635.74,631.14,633.97,2301073
2024-05-14,620.87,629.25,614.38,622.73,630173
2024-05-15,641.28,644.13,636.44,639.28,2706654
2024-05-16,632.96,639.84,623.66,630.51,1028036
2024-05-17,616.43,620.97,611.76,616.3,503558
2024-05-20,615.14,620.46,609.77,615.09,1164245
2024-05-21,612.83,616.55,611.07,614.79,690830
2024-05-22,628.78,632.38,624.9,628.49,1123025
2024-05-23,619.77,624.58,612.25,617.04,1803878
2024-05-24,602.16,611.06,596.16,605.03,643328
2024-05-27,622.96,629.53,613.6,620.14,3608222
2024-05-28,630.14,634.27,625.78,629.92,3105093
2024-05-29,626.51,631.01,623.92,628.41,622118
2024-05-30,617.82,625.0,611.39,618.56,1886978
2024-05-31,615.81,623.36,608.87,616.41,2839111
2024-06-03,610.46,616.02,605.75,611.3,859756
