Date,Open,High,Low,Close,Volume
2024-03-15,3838.2,3887.05,3801.26,3850.0,458153
2024-03-18,3881.24,3914.53,3841.09,3874.32,1280148
2024-03-19,3896.14,3923.76,3873.52,3901.11,2101681
2024-03-20,3944.53,3959.84,3910.74,3925.97,1072191
2024-03-21,3867.85,3883.0,3846.1,3861.21,1862426
2024-03-22,3818.88,3860.51,3778.03,3819.65,1729844
2024-03-25,3808.39,3831.08,3786.88,3809.56,787115
2024-03-26,3761.48,3783.64,3738.73,3760.88,5316214
2024-03-27,3735.47,3784.03,3691.2,3739.71,1214162
2024-03-28,3830.39,3873.07,3793.29,3835.92,3605298
2024-03-29,3903.86,3946.2,3863.76,3906.07,534241
2024-04-01,3912.28,3926.42,3893.39,3907.51,1559005
2024-04-02,3966.82,3995.82,3935.28,3964.26,403467
2024-04-03,4017.59,4040.76,3985.3,4008.42,876850
2024-04-04,4003.08,4059.36,3966.06,4022.16,1034567
2024-04-05,3948.98,4001.6,3914.77,3967.23,1519195
2024-04-08,3934.75,3953.42,3902.36,3920.96,1958531
2024-04-09,3932.95,3977.99,3890.88,3935.89,1144934
2024-04-10,4056.44,4084.88,4025.36,4053.78,2217521
2024-04-11,3999.49,4045.98,3934.12,3980.38,822543
2024-04-12,4022.07,4071.52,3987.1,4036.42,1925832
2024-04-15,4087.39,4139.3,4049.83,4101.61,1965766
2024-04-16,4129.04,4168.53,4100.43,4139.85,328193
2024-04-17,4036.92,4075.6,4005.36,4043.99,2247959
2024-04-18,4112.27,4136.51,4075.79,4099.96,1131743
2024-04-19,4079.36,4106.18,4063.13,4089.91,1748587
2024-04-22,4046.37,4101.79,3998.82,4054.16,1793469
2024-04-23,3950.76,3978.76,3932.52,3960.48,1129843
2024-04-24,3957.59,4001.72,3933.22,3977.23,428337
2024-04-25,4054.07,4099.68,3991.69,4037.11,1180160
2024-04-26,4043.89,4061.38,4015.39,4032.83,1159651
2024-04-29,3976.11,4035.81,3926.51,3986.09,4746893
2024-04-30,3970.0,3982.96,3949.52,3962.45,892882
2024-05-01,4008.23,4058.64,3969.41,4019.71,829530
2024-05-02,4059.55,4081.79,4019.87,4042.02,4957931
2024-05-03,3987.89,4023.84,3957.92,3993.82,1145862
2024-05-06,3916.23,3978.39,3868.82,3930.81,847187
2024-05-07,3878.41,3908.88,3829.36,3859.67,1664932
2024-05-08,3912.96,3937.29,3894.32,3918.63,2098539
2024-05-09,3967.41,4011.92,3909.68,3954.04,808544
2024-05-10,3969.9,4027.58,3930.7,3988.2,1133945
2024-05-13,4099.01,4135.71,4061.09,4097.77,1196408
2024-05-14,4142.15,4171.62,4099.79,4129.16,2023016
2024-05-15,4012.67,4053.48,3968.5,4009.27,2441378
2024-05-16,4030.71,4060.54,4001.66,4031.49,579584
2024-05-17,4106.49,4132.6,4077.49,4103.58,955728
2024-05-20,4202.14,4249.1,4139.33,4186.1,1036762
2024-05-21,4202.59,4251.43,4152.21,4201.02,1578871
2024-05-22,4344.45,4378.32,4290.68,4324.4,831413
2024-05-23,4287.67,4304.95,4249.71,4266.91,2473760
2024-05-24,4265.96,4321.99,4225.19,4281.07,1691844
2024-05-27,4234.71,4286.37,4188.96,4240.56,748954
2024-05-28,4263.37,4300.96,4238.69,4276.2,1475796
2024-05-29,4330.12,4353.57,4316.73,4340.15,1470388
2024-05-30,4391.39,4407.74,4363.33,4379.63,1196298
2024-05-31,4355.03,4397.47,4315.37,4357.78,1541983
2024-06-03,4289.41,4341.71,4236.8,4289.09,1061450
2024-06-04,4278.38,4332.62,4244.08,4298.16,1055338
2024-06-05,4251.87,4293.66,4197.84,4239.51,1963804
2024-06-06,4301.08,4347.48,4275.86,4322.14,699271
2024-06-07,4203.67,4216.3,4188.9,4201.52,2408031
2024-06-10,4158.16,4220.38,4110.5,4172.56,1022785
2024-06-11,4107.89,4124.21,4072.39,4088.63,2539116
2024-06-12,4157.67,4195.43,4102.2,4139.8,811041
2024-06-13,3972.63,3990.51,3936.91,3954.72,1050255
2024-06-14,3817.19,3838.45,3799.09,3820.34,1993663
2024-06-17,3854.14,3889.4,3829.57,3864.76,1083962
2024-06-18,3778.3,3792.44,3757.24,3771.36,1821135
2024-06-19,3718.77,3775.61,3678.98,3735.64,402914
2024-06-20,3721.99,3732.75,3711.39,3722.15,2638809
2024-06-21,3728.55,3752.59,3691.3,3715.25,786238
2024-06-24,3689.7,3717.95,3668.66,3696.87,1180609
2024-06-25,3683.17,3720.39,3659.8,3696.93,2065321
2024-06-26,3656.84,3685.72,3638.36,3667.19,567812
2024-06-27,3630.71,3647.97,3598.71,3615.9,603228
2024-06-28,3601.07,3630.03,3570.67,3599.62,918319
2024-07-01,3519.55,3536.23,3496.35,3513.0,1207283
2024-07-02,3515.65,3547.89,3469.03,3501.13,969698
2024-07-03,3554.55,3569.65,3541.81,3556.9,695260
2024-07-04,3503.72,3524.36,3481.53,3502.16,728190
2024-07-05,3515.29,3559.31,3480.21,3524.14,961703
2024-07-08,3532.33,3556.67,3507.33,3531.67,857378
2024-07-09,3534.69,3581.36,3504.85,3551.38,957155
2024-07-10,3609.46,3629.09,3591.76,3611.39,349016
2024-07-11,3603.86,3645.26,3563.85,3605.23,660297
2024-07-12,3568.21,3587.84,3539.8,3559.38,1219342
2024-07-15,3449.98,3474.16,3421.95,3446.11,1364950
2024-07-16,3423.31,3438.59,3397.79,3413.02,600438
2024-07-17,3456.44,3486.76,3418.73,3448.98,1407926
2024-07-18,3465.44,3494.96,3425.69,3455.11,580229
2024-07-19,3413.96,3443.52,3371.15,3400.59,1304185
2024-07-22,3443.96,3496.51,3402.29,3454.71,1273503
2024-07-23,3448.38,3476.85,3407.19,3435.55,2663521
2024-07-24,3430.27,3471.1,3404.84,3445.55,1787650
2024-07-25,3349.89,3384.15,3326.88,3361.07,780045
2024-07-26,3322.96,3333.75,3306.8,3317.57,967643
2024-07-29,3317.95,3360.51,3291.18,3333.61,331612
2024-07-30,3346.57,3388.4,3299.43,3341.19,540903
2024-07-31,3293.87,3325.16,3261.88,3293.17,2102891
2024-08-01,3293.22,3309.71,3264.58,3281.0,1016236
2024-08-02,3372.57,3413.38,3316.7,3357.32,355984
2024-08-05,3325.3,3367.68,3284.34,3326.7,1482961
2024-08-06,3317.01,3351.28,3271.7,3305.85,864876
2024-08-07,3357.76,3382.87,3333.0,3358.12,3686573
2024-08-08,3392.18,3409.18,3373.92,3390.92,1698158
2024-08-09,3377.86,3400.35,3348.01,3370.44,821870
2024-08-12,3356.94,3396.01,3332.63,3371.6,443668
2024-08-13,3391.01,3427.56,3361.15,3397.63,837014
2024-08-14,3329.72,3356.2,3319.98,3346.42,1202587
2024-08-15,3372.49,3382.45,3346.47,3356.38,1220625
2024-08-16,3426.08,3446.98,3413.53,3434.4,403022
2024-08-19,3421.03,3456.12,3394.11,3429.13,2448167
2024-08-20,3338.27,3377.56,3315.85,3355.03,1548841
2024-08-21,3441.2,3477.41,3389.13,3425.17,812392
2024-08-22,3421.21,3442.18,3411.09,3432.03,1129097
2024-08-23,3446.05,3493.61,3407.68,3455.14,535869
2024-08-26,3444.17,3498.94,3402.31,3456.92,1276368
2024-08-27,3468.8,3500.14,3438.54,3469.86,677721
2024-08-28,3484.52,3503.38,3463.02,3481.87,2194662
2024-08-29,3506.57,3565.1,3463.13,3521.47,1469526
2024-08-30,3615.59,3643.07,3588.1,3615.58,2498257
2024-09-02,3638.83,3654.9,3624.52,3640.59,1736534
2024-09-03,3690.12,3719.62,3642.66,3672.01,1566615
2024-09-04,3720.66,3738.49,3708.49,3726.3,877009
2024-09-05,3625.53,3669.91,3596.77,3641.03,1563605
2024-09-06,3664.57,3691.58,3629.19,3656.14,2423714
2024-09-09,3604.72,3646.69,3573.55,3615.43,2166864
2024-09-10,3488.16,3522.4,3464.82,3499.0,362004
2024-09-11,3526.68,3537.32,3501.53,3512.12,644351
2024-09-12,3554.83,3589.4,3503.11,3537.52,2691914
2024-09-13,3552.16,3573.12,3529.43,3550.38,2382486
2024-09-16,3487.75,3506.19,3463.59,3482.01,760010
2024-09-17,3484.11,3523.87,3461.43,3501.08,1528663
2024-09-18,3492.45,3516.58,3458.21,3482.27,556330
2024-09-19,3434.36,3458.36,3422.95,3446.91,1244764
2024-09-20,3447.88,3470.7,3409.74,3432.46,1170755
2024-09-23,3371.62,3400.75,3346.4,3375.5,1208901
2024-09-24,3402.28,3442.7,3353.09,3393.41,1550762
2024-09-25,3348.88,3359.1,3328.04,3338.23,731638
2024-09-26,3262.99,3274.0,3248.93,3259.93,1173279
2024-09-27,3193.66,3218.33,3170.95,3195.62,2231691
2024-09-30,3097.63,3127.05,3078.97,3108.33,2352268
2024-10-01,3030.16,3071.83,3002.78,3044.32,2580874
2024-10-02,3110.46,3145.41,3078.36,3113.28,623024
2024-10-03,3142.71,3152.88,3126.77,3136.93,572969
2024-10-04,3170.65,3202.65,3150.9,3182.83,1555576
2024-10-07,3231.68,3268.78,3182.42,3219.37,491862
2024-10-08,3227.27,3240.19,3201.95,3214.81,404066
2024-10-09,3179.34,3196.98,3150.91,3168.49,4848735
2024-10-10,3237.97,3249.31,3218.22,3229.53,1515591
2024-10-11,3168.16,3184.11,3140.24,3156.12,1125017
2024-10-14,3181.35,3210.1,3148.26,3176.97,1030938
2024-10-15,3170.92,3207.69,3132.45,3169.2,647407
2024-10-16,3112.79,3154.87,3084.47,3126.43,1487965
2024-10-17,3144.06,3165.34,3130.9,3152.14,2101335
2024-10-18,3189.09,3214.08,3152.99,3177.89,1193506
2024-10-21,3166.72,3208.54,3132.59,3174.33,560001
2024-10-22,3247.86,3258.51,3228.52,3239.14,437783
2024-10-23,3282.9,3320.78,3230.91,3268.63,1505226
2024-10-24,3276.97,3298.06,3244.22,3265.24,647952
2024-10-25,3319.08,3346.84,3288.23,3315.96,1496038
2024-10-28,3305.39,3326.38,3273.56,3294.48,740956
2024-10-29,3356.11,3380.56,3347.59,3372.0,670546
2024-10-30,3402.32,3432.82,3387.49,3417.92,1142419
2024-10-31,3437.46,3454.25,3404.05,3420.76,1435879
2024-11-01,3538.79,3562.03,3514.53,3537.76,750445
2024-11-04,3530.93,3562.76,3512.84,3544.61,3357586
2024-11-05,3547.66,3605.96,3503.98,3562.09,2735959
2024-11-06,3579.17,3597.01,3553.59,3571.39,1704254
2024-11-07,3562.76,3616.65,3525.18,3578.91,2423194
2024-11-08,3595.97,3637.58,3554.71,3596.31,1066589
2024-11-11,3657.07,3699.02,3614.05,3655.99,1096684
2024-11-12,3618.53,3646.34,3581.8,3609.53,352115
2024-11-13,3614.88,3628.96,3596.27,3610.33,662616
2024-11-14,3661.7,3693.41,3613.77,3645.33,611671
2024-11-15,3584.22,3624.92,3544.81,3585.49,754868
2024-11-18,3688.23,3725.87,3636.34,3673.83,705333
2024-11-19,3805.9,3816.01,3787.21,3797.29,725391
2024-11-20,3761.2,3806.82,3720.75,3766.31,2246581
